,name,frequency,modeling_realm,standard_name,units,cell_methods,cell_measures,long_name,comment,processing_note,dimensions,out_name,type,positive,spatial_shape,temporal_shape,cmip6_table,physical_parameter_name,variableRootDD,branding_label,branded_variable_name,region,cmip6_compound_name,cmip7_compound_name,uid,flag_values,flag_meanings
12,atmos.hur.tavg-p19-hxy-u.day.glb,day,atmos,relative_humidity,%,time: mean,area: areacella,Relative Humidity,"This is the relative humidity with respect to liquid water for T> 0 C, and with respect to ice for T<0 C.","CHANGE SINCE CMIP6 in Dimensions - CMIP6:longitude latitude plev8 time CMIP7:longitude latitude plev19 time,",longitude latitude plev19 time,hur,real,,XY-P19,time-intv,day,hur,hur,tavg-p19-hxy-u,hur_tavg-p19-hxy-u,glb,day.hur,atmos.hur.tavg-p19-hxy-u.day.glb,baafec80-e5dd-11e5-8482-ac72891c3257,,
13,atmos.hurs.tavg-h2m-hxy-u.6hr.glb,6hr,atmos,relative_humidity,%,area: time: mean,area: areacella,Near-Surface Relative Humidity,"The relative humidity with respect to liquid water for T> 0 C, and with respect to ice for T<0 C.",,longitude latitude time height2m,hurs,real,,XY-na,time-intv,6hrPlev,hurs,hurs,tavg-h2m-hxy-u,hurs_tavg-h2m-hxy-u,glb,6hrPlev.hurs,atmos.hurs.tavg-h2m-hxy-u.6hr.glb,917b8532-267c-11e7-8933-ac72891c3257,,
14,atmos.hurs.tavg-h2m-hxy-u.day.glb,day,atmos,relative_humidity,%,area: time: mean,area: areacella,Near-Surface Relative Humidity,"This is the relative humidity with respect to liquid water for T> 0 C, and with respect to ice for T<0 C.",normally report this at 2 meters above the surface,longitude latitude time height2m,hurs,real,,XY-na,time-intv,day,hurs,hurs,tavg-h2m-hxy-u,hurs_tavg-h2m-hxy-u,glb,day.hurs,atmos.hurs.tavg-h2m-hxy-u.day.glb,5a070350-c77d-11e6-8a33-5404a60d96b5,,
15,atmos.hurs.tavg-h2m-hxy-u.mon.glb,mon,atmos,relative_humidity,%,area: time: mean,area: areacella,Near-Surface Relative Humidity,"This is the relative humidity with respect to liquid water for T> 0 C, and with respect to ice for T<0 C.","express as a percentage.  Normally, the relative humidity  should be reported at the 2 meter height",longitude latitude time height2m,hurs,real,,XY-na,time-intv,Amon,hurs,hurs,tavg-h2m-hxy-u,hurs_tavg-h2m-hxy-u,glb,Amon.hurs,atmos.hurs.tavg-h2m-hxy-u.mon.glb,baaff41e-e5dd-11e5-8482-ac72891c3257,,
16,atmos.hus.tavg-p19-hxy-u.day.glb,day,atmos,specific_humidity,1,time: mean,area: areacella,Specific Humidity,Specific humidity is the mass fraction of water vapor in (moist) air.,"CHANGE SINCE CMIP6 in Dimensions - CMIP6:longitude latitude plev8 time CMIP7:longitude latitude plev19 time,",longitude latitude plev19 time,hus,real,,XY-P19,time-intv,day,hus,hus,tavg-p19-hxy-u,hus_tavg-p19-hxy-u,glb,day.hus,atmos.hus.tavg-p19-hxy-u.day.glb,bab0135e-e5dd-11e5-8482-ac72891c3257,,
17,atmos.hus.tavg-p19-hxy-u.mon.glb,mon,atmos,specific_humidity,1,time: mean,area: areacella,Specific Humidity,Specific humidity is the mass fraction of water vapor in (moist) air.,,longitude latitude plev19 time,hus,real,,XY-P19,time-intv,Amon,hus,hus,tavg-p19-hxy-u,hus_tavg-p19-hxy-u,glb,Amon.hus,atmos.hus.tavg-p19-hxy-u.mon.glb,bab00b98-e5dd-11e5-8482-ac72891c3257,,
18,atmos.huss.tavg-h2m-hxy-u.day.glb,day,atmos,specific_humidity,1,area: time: mean,area: areacella,Near-Surface Specific Humidity,"Near-surface (usually, 2 meter) specific humidity.",normally report this at 2 meters above the surface,longitude latitude time height2m,huss,real,,XY-na,time-intv,day,huss,huss,tavg-h2m-hxy-u,huss_tavg-h2m-hxy-u,glb,day.huss,atmos.huss.tavg-h2m-hxy-u.day.glb,bab0238a-e5dd-11e5-8482-ac72891c3257,,
19,atmos.huss.tavg-h2m-hxy-u.mon.glb,mon,atmos,specific_humidity,1,area: time: mean,area: areacella,Near-Surface Specific Humidity,"Near-surface (usually, 2 meter) specific humidity.",normally report this at 2 meters above the surface,longitude latitude time height2m,huss,real,,XY-na,time-intv,Amon,huss,huss,tavg-h2m-hxy-u,huss_tavg-h2m-hxy-u,glb,Amon.huss,atmos.huss.tavg-h2m-hxy-u.mon.glb,bab01dfe-e5dd-11e5-8482-ac72891c3257,,
20,atmos.huss.tpt-h2m-hxy-u.3hr.glb,3hr,atmos,specific_humidity,1,area: mean time: point,area: areacella,Near-Surface Specific Humidity,This is sampled synoptically.,normally report this at 2 meters above the surface,longitude latitude time1 height2m,huss,real,,XY-na,time-point,3hr,huss,huss,tpt-h2m-hxy-u,huss_tpt-h2m-hxy-u,glb,3hr.huss,atmos.huss.tpt-h2m-hxy-u.3hr.glb,bab034a6-e5dd-11e5-8482-ac72891c3257,,
21,atmos.pr.tavg-u-hxy-u.1hr.glb,1hr,atmos,precipitation_flux,kg m-2 s-1,area: time: mean,area: areacella,Precipitation,Total precipitation flux,,longitude latitude time,pr,real,,XY-na,time-intv,E1hr,pr,pr,tavg-u-hxy-u,pr_tavg-u-hxy-u,glb,E1hr.pr,atmos.pr.tavg-u-hxy-u.1hr.glb,8baebea6-4a5b-11e6-9cd2-ac72891c3257,,
22,atmos.pr.tavg-u-hxy-u.3hr.glb,3hr,atmos,precipitation_flux,kg m-2 s-1,area: time: mean,area: areacella,Precipitation,at surface; includes both liquid and solid phases.  This is the 3-hour mean precipitation flux.,,longitude latitude time,pr,real,,XY-na,time-intv,3hr,pr,pr,tavg-u-hxy-u,pr_tavg-u-hxy-u,glb,3hr.pr,atmos.pr.tavg-u-hxy-u.3hr.glb,bab3c904-e5dd-11e5-8482-ac72891c3257,,
23,atmos.pr.tavg-u-hxy-u.day.glb,day,atmos,precipitation_flux,kg m-2 s-1,area: time: mean,area: areacella,Precipitation,at surface; includes both liquid and solid phases from all types of clouds (both large-scale and convective),,longitude latitude time,pr,real,,XY-na,time-intv,day,pr,pr,tavg-u-hxy-u,pr_tavg-u-hxy-u,glb,day.pr,atmos.pr.tavg-u-hxy-u.day.glb,bab3d692-e5dd-11e5-8482-ac72891c3257,,
24,atmos.pr.tavg-u-hxy-u.mon.glb,mon,atmos,precipitation_flux,kg m-2 s-1,area: time: mean,area: areacella,Precipitation,at surface; includes both liquid and solid phases from all types of clouds (both large-scale and convective),,longitude latitude time,pr,real,,XY-na,time-intv,Amon,pr,pr,tavg-u-hxy-u,pr_tavg-u-hxy-u,glb,Amon.pr,atmos.pr.tavg-u-hxy-u.mon.glb,bab3cb52-e5dd-11e5-8482-ac72891c3257,,
25,atmos.prc.tavg-u-hxy-u.mon.glb,mon,atmos,convective_precipitation_flux,kg m-2 s-1,area: time: mean,area: areacella,Convective Precipitation,at surface; includes both liquid and solid phases.,,longitude latitude time,prc,real,,XY-na,time-intv,Amon,prc,prc,tavg-u-hxy-u,prc_tavg-u-hxy-u,glb,Amon.prc,atmos.prc.tavg-u-hxy-u.mon.glb,bab3f8a2-e5dd-11e5-8482-ac72891c3257,,
26,atmos.prsn.tavg-u-hxy-u.mon.glb,mon,atmos,snowfall_flux,kg m-2 s-1,area: time: mean,area: areacella,Snowfall Flux,at surface; includes precipitation of all forms of water in the solid phase,,longitude latitude time,prsn,real,,XY-na,time-intv,Amon,prsn,prsn,tavg-u-hxy-u,prsn_tavg-u-hxy-u,glb,Amon.prsn,atmos.prsn.tavg-u-hxy-u.mon.glb,bab42b88-e5dd-11e5-8482-ac72891c3257,,
27,atmos.prw.tavg-u-hxy-u.mon.glb,mon,atmos,atmosphere_mass_content_of_water_vapor,kg m-2,area: time: mean,area: areacella,Water Vapor Path,Vertically integrated mass of water vapour through the atmospheric column,,longitude latitude time,prw,real,,XY-na,time-intv,Amon,prw,prw,tavg-u-hxy-u,prw_tavg-u-hxy-u,glb,Amon.prw,atmos.prw.tavg-u-hxy-u.mon.glb,bab45df6-e5dd-11e5-8482-ac72891c3257,,
28,atmos.ps.tavg-u-hxy-u.day.glb,day,atmos,surface_air_pressure,Pa,area: time: mean,area: areacella,Surface Air Pressure,"surface pressure (not mean sea-level pressure), 2-D field to calculate the 3-D pressure field from hybrid coordinates",,longitude latitude time,ps,real,,XY-na,time-intv,CFday,ps,ps,tavg-u-hxy-u,ps_tavg-u-hxy-u,glb,CFday.ps,atmos.ps.tavg-u-hxy-u.day.glb,bab46db4-e5dd-11e5-8482-ac72891c3257,,
29,atmos.ps.tavg-u-hxy-u.mon.glb,mon,atmos,surface_air_pressure,Pa,area: time: mean,area: areacella,Surface Air Pressure,"not, in general, the same as mean sea-level pressure",,longitude latitude time,ps,real,,XY-na,time-intv,Amon,ps,ps,tavg-u-hxy-u,ps_tavg-u-hxy-u,glb,Amon.ps,atmos.ps.tavg-u-hxy-u.mon.glb,bab47b56-e5dd-11e5-8482-ac72891c3257,,
30,atmos.psl.tavg-u-hxy-u.day.glb,day,atmos,air_pressure_at_mean_sea_level,Pa,area: time: mean,area: areacella,Sea Level Pressure,Sea Level Pressure,,longitude latitude time,psl,real,,XY-na,time-intv,day,psl,psl,tavg-u-hxy-u,psl_tavg-u-hxy-u,glb,day.psl,atmos.psl.tavg-u-hxy-u.day.glb,bab491f4-e5dd-11e5-8482-ac72891c3257,,
31,atmos.psl.tavg-u-hxy-u.mon.glb,mon,atmos,air_pressure_at_mean_sea_level,Pa,area: time: mean,area: areacella,Sea Level Pressure,"not, in general, the same as surface pressure",,longitude latitude time,psl,real,,XY-na,time-intv,Amon,psl,psl,tavg-u-hxy-u,psl_tavg-u-hxy-u,glb,Amon.psl,atmos.psl.tavg-u-hxy-u.mon.glb,bab48ce0-e5dd-11e5-8482-ac72891c3257,,
32,atmos.rlds.tavg-u-hxy-u.mon.glb,mon,atmos,surface_downwelling_longwave_flux_in_air,W m-2,area: time: mean,area: areacella,Surface Downwelling Longwave Radiation,"The surface called ""surface"" means the lower boundary of the atmosphere. ""longwave"" means longwave radiation. Downwelling radiation is radiation from above. It does not mean ""net downward"". When thought of as being incident on a surface, a radiative flux is sometimes called ""irradiance"". In addition, it is identical with the quantity measured by a cosine-collector light-meter and sometimes called ""vector irradiance"". In accordance with common usage in geophysical disciplines, ""flux"" implies per unit area, called ""flux density"" in physics.",,longitude latitude time,rlds,real,down,XY-na,time-intv,Amon,rlds,rlds,tavg-u-hxy-u,rlds_tavg-u-hxy-u,glb,Amon.rlds,atmos.rlds.tavg-u-hxy-u.mon.glb,bab52da8-e5dd-11e5-8482-ac72891c3257,,
33,atmos.rldscs.tavg-u-hxy-u.mon.glb,mon,atmos,surface_downwelling_longwave_flux_in_air_assuming_clear_sky,W m-2,area: time: mean,area: areacella,Surface Downwelling Clear-Sky Longwave Radiation,Surface downwelling clear-sky longwave radiation,,longitude latitude time,rldscs,real,down,XY-na,time-intv,Amon,rldscs,rldscs,tavg-u-hxy-u,rldscs_tavg-u-hxy-u,glb,Amon.rldscs,atmos.rldscs.tavg-u-hxy-u.mon.glb,bab5540e-e5dd-11e5-8482-ac72891c3257,,
34,atmos.rlus.tavg-u-hxy-u.mon.glb,mon,atmos,surface_upwelling_longwave_flux_in_air,W m-2,area: time: mean,area: areacella,Surface Upwelling Longwave Radiation,"The surface called ""surface"" means the lower boundary of the atmosphere. ""longwave"" means longwave radiation. Upwelling radiation is radiation from below. It does not mean ""net upward"". When thought of as being incident on a surface, a radiative flux is sometimes called ""irradiance"". In addition, it is identical with the quantity measured by a cosine-collector light-meter and sometimes called ""vector irradiance"". In accordance with common usage in geophysical disciplines, ""flux"" implies per unit area, called ""flux density"" in physics.",,longitude latitude time,rlus,real,up,XY-na,time-intv,Amon,rlus,rlus,tavg-u-hxy-u,rlus_tavg-u-hxy-u,glb,Amon.rlus,atmos.rlus.tavg-u-hxy-u.mon.glb,bab578d0-e5dd-11e5-8482-ac72891c3257,,
35,atmos.rluscs.tavg-u-hxy-u.mon.glb,mon,atmos,surface_upwelling_longwave_flux_assuming_clear_sky,W m-2,area: time: mean,area: areacella,Surface Upwelling Clear-Sky Longwave Radiation,Surface Upwelling Clear-sky Longwave Radiation,,longitude latitude time,rluscs,real,up,XY-na,time-intv,Amon,rluscs,rluscs,tavg-u-hxy-u,rluscs_tavg-u-hxy-u,glb,Amon.rluscs,atmos.rluscs.tavg-u-hxy-u.mon.glb,80ab71f6-a698-11ef-914a-613c0433d878,,
36,atmos.rlut.tavg-u-hxy-u.mon.glb,mon,atmos,toa_outgoing_longwave_flux,W m-2,area: time: mean,area: areacella,TOA Outgoing Longwave Radiation,at the top of the atmosphere (to be compared with satellite measurements),,longitude latitude time,rlut,real,up,XY-na,time-intv,Amon,rlut,rlut,tavg-u-hxy-u,rlut_tavg-u-hxy-u,glb,Amon.rlut,atmos.rlut.tavg-u-hxy-u.mon.glb,bab5aad0-e5dd-11e5-8482-ac72891c3257,,
37,atmos.rlutcs.tavg-u-hxy-u.mon.glb,mon,atmos,toa_outgoing_longwave_flux_assuming_clear_sky,W m-2,area: time: mean,area: areacella,TOA Outgoing Clear-Sky Longwave Radiation,Upwelling clear-sky longwave radiation at top of atmosphere,,longitude latitude time,rlutcs,real,up,XY-na,time-intv,Amon,rlutcs,rlutcs,tavg-u-hxy-u,rlutcs_tavg-u-hxy-u,glb,Amon.rlutcs,atmos.rlutcs.tavg-u-hxy-u.mon.glb,bab5bcdc-e5dd-11e5-8482-ac72891c3257,,
38,atmos.rsds.tavg-u-hxy-u.day.glb,day,atmos,surface_downwelling_shortwave_flux_in_air,W m-2,area: time: mean,area: areacella,Surface Downwelling Shortwave Radiation,Surface solar irradiance for UV calculations.,,longitude latitude time,rsds,real,down,XY-na,time-intv,day,rsds,rsds,tavg-u-hxy-u,rsds_tavg-u-hxy-u,glb,day.rsds,atmos.rsds.tavg-u-hxy-u.day.glb,bab5ecd4-e5dd-11e5-8482-ac72891c3257,,
39,atmos.rsds.tavg-u-hxy-u.mon.glb,mon,atmos,surface_downwelling_shortwave_flux_in_air,W m-2,area: time: mean,area: areacella,Surface Downwelling Shortwave Radiation,Surface solar irradiance for UV calculations.,,longitude latitude time,rsds,real,down,XY-na,time-intv,Amon,rsds,rsds,tavg-u-hxy-u,rsds_tavg-u-hxy-u,glb,Amon.rsds,atmos.rsds.tavg-u-hxy-u.mon.glb,bab5e1b2-e5dd-11e5-8482-ac72891c3257,,
40,atmos.rsdscs.tavg-u-hxy-u.mon.glb,mon,atmos,surface_downwelling_shortwave_flux_in_air_assuming_clear_sky,W m-2,area: time: mean,area: areacella,Surface Downwelling Clear-Sky Shortwave Radiation,Surface solar irradiance clear sky for UV calculations,,longitude latitude time,rsdscs,real,down,XY-na,time-intv,Amon,rsdscs,rsdscs,tavg-u-hxy-u,rsdscs_tavg-u-hxy-u,glb,Amon.rsdscs,atmos.rsdscs.tavg-u-hxy-u.mon.glb,bab607c8-e5dd-11e5-8482-ac72891c3257,,
41,atmos.rsdt.tavg-u-hxy-u.mon.glb,mon,atmos,toa_incoming_shortwave_flux,W m-2,area: time: mean,area: areacella,TOA Incident Shortwave Radiation,at the top of the atmosphere,,longitude latitude time,rsdt,real,down,XY-na,time-intv,Amon,rsdt,rsdt,tavg-u-hxy-u,rsdt_tavg-u-hxy-u,glb,Amon.rsdt,atmos.rsdt.tavg-u-hxy-u.mon.glb,bab6219a-e5dd-11e5-8482-ac72891c3257,,
42,atmos.rsus.tavg-u-hxy-u.mon.glb,mon,atmos,surface_upwelling_shortwave_flux_in_air,W m-2,area: time: mean,area: areacella,Surface Upwelling Shortwave Radiation,"The surface called ""surface"" means the lower boundary of the atmosphere. ""shortwave"" means shortwave radiation. Upwelling radiation is radiation from below. It does not mean ""net upward"". When thought of as being incident on a surface, a radiative flux is sometimes called ""irradiance"". In addition, it is identical with the quantity measured by a cosine-collector light-meter and sometimes called ""vector irradiance"". In accordance with common usage in geophysical disciplines, ""flux"" implies per unit area, called ""flux density"" in physics.",,longitude latitude time,rsus,real,up,XY-na,time-intv,Amon,rsus,rsus,tavg-u-hxy-u,rsus_tavg-u-hxy-u,glb,Amon.rsus,atmos.rsus.tavg-u-hxy-u.mon.glb,bab6537c-e5dd-11e5-8482-ac72891c3257,,
43,atmos.rsuscs.tavg-u-hxy-u.mon.glb,mon,atmos,surface_upwelling_shortwave_flux_in_air_assuming_clear_sky,W m-2,area: time: mean,area: areacella,Surface Upwelling Clear-Sky Shortwave Radiation,Surface Upwelling Clear-sky Shortwave Radiation,,longitude latitude time,rsuscs,real,up,XY-na,time-intv,Amon,rsuscs,rsuscs,tavg-u-hxy-u,rsuscs_tavg-u-hxy-u,glb,Amon.rsuscs,atmos.rsuscs.tavg-u-hxy-u.mon.glb,bab670b4-e5dd-11e5-8482-ac72891c3257,,
44,atmos.rsut.tavg-u-hxy-u.mon.glb,mon,atmos,toa_outgoing_shortwave_flux,W m-2,area: time: mean,area: areacella,TOA Outgoing Shortwave Radiation,at the top of the atmosphere,,longitude latitude time,rsut,real,up,XY-na,time-intv,Amon,rsut,rsut,tavg-u-hxy-u,rsut_tavg-u-hxy-u,glb,Amon.rsut,atmos.rsut.tavg-u-hxy-u.mon.glb,bab68ebe-e5dd-11e5-8482-ac72891c3257,,
45,atmos.rsutcs.tavg-u-hxy-u.mon.glb,mon,atmos,toa_outgoing_shortwave_flux_assuming_clear_sky,W m-2,area: time: mean,area: areacella,TOA Outgoing Clear-Sky Shortwave Radiation,Calculated in the absence of clouds.,,longitude latitude time,rsutcs,real,up,XY-na,time-intv,Amon,rsutcs,rsutcs,tavg-u-hxy-u,rsutcs_tavg-u-hxy-u,glb,Amon.rsutcs,atmos.rsutcs.tavg-u-hxy-u.mon.glb,bab69c06-e5dd-11e5-8482-ac72891c3257,,
46,atmos.sfcWind.tavg-h10m-hxy-u.day.glb,day,atmos,wind_speed,m s-1,area: time: mean,area: areacella,Near-Surface Wind Speed,"near-surface (usually, 10 meters) wind speed.",normally report this at 10 meters above the surface,longitude latitude time height10m,sfcWind,real,,XY-na,time-intv,day,sfcWind,sfcWind,tavg-h10m-hxy-u,sfcWind_tavg-h10m-hxy-u,glb,day.sfcWind,atmos.sfcWind.tavg-h10m-hxy-u.day.glb,bab6fe58-e5dd-11e5-8482-ac72891c3257,,
47,atmos.sfcWind.tavg-h10m-hxy-u.mon.glb,mon,atmos,wind_speed,m s-1,area: time: mean,area: areacella,Near-Surface Wind Speed,"This is the mean of the speed, not the speed computed from the mean u and v components of wind","normally, the the wind component should be reported at the 10 meter height",longitude latitude time height10m,sfcWind,real,,XY-na,time-intv,Amon,sfcWind,sfcWind,tavg-h10m-hxy-u,sfcWind_tavg-h10m-hxy-u,glb,Amon.sfcWind,atmos.sfcWind.tavg-h10m-hxy-u.mon.glb,bab6f494-e5dd-11e5-8482-ac72891c3257,,
48,atmos.sftlf.ti-u-hxy-u.fx.glb,fx,atmos,land_area_fraction,%,area: mean,area: areacella,Percentage of the Grid Cell Occupied by Land (Including Lakes),Percentage of horizontal area occupied by land.,"For atmospheres with more than 1 mesh (e.g., staggered grids), report areas that apply to surface vertical fluxes of energy.",longitude latitude,sftlf,real,,XY-na,None,fx,sftlf,sftlf,ti-u-hxy-u,sftlf_ti-u-hxy-u,glb,fx.sftlf,atmos.sftlf.ti-u-hxy-u.fx.glb,bab742c8-e5dd-11e5-8482-ac72891c3257,,
49,atmos.ta.tavg-p19-hxy-air.day.glb,day,atmos,air_temperature,K,area: time: mean where air,area: areacella,Air Temperature,Air Temperature,"CHANGE SINCE CMIP6 in Dimensions - CMIP6:longitude latitude plev8 time CMIP7:longitude latitude plev19 time, CHANGE SINCE CMIP6 in Cell Methods - CMIP6:time: mean CMIP7:area: time: mean where air,",longitude latitude plev19 time,ta,real,,XY-P19,time-intv,day,ta,ta,tavg-p19-hxy-air,ta_tavg-p19-hxy-air,glb,day.ta,atmos.ta.tavg-p19-hxy-air.day.glb,bab902e8-e5dd-11e5-8482-ac72891c3257,,
50,atmos.ta.tavg-p19-hxy-air.mon.glb,mon,atmos,air_temperature,K,area: time: mean where air,area: areacella,Air Temperature,Air Temperature,"CHANGE SINCE CMIP6 in Cell Methods - CMIP6:time: mean CMIP7:area: time: mean where air,",longitude latitude plev19 time,ta,real,,XY-P19,time-intv,Amon,ta,ta,tavg-p19-hxy-air,ta_tavg-p19-hxy-air,glb,Amon.ta,atmos.ta.tavg-p19-hxy-air.mon.glb,bab8fa0a-e5dd-11e5-8482-ac72891c3257,,
51,atmos.ta.tpt-p3-hxy-air.6hr.glb,6hr,atmos,air_temperature,K,area: mean where air time: point,area: areacella,Air Temperature,Air Temperature,"On the following pressure levels: 850, 500, 250 hPa
CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: mean time: point CMIP7:area: mean where air time: point,",longitude latitude plev3 time1,ta,real,,XY-P3,time-point,6hrPlevPt,ta,ta,tpt-p3-hxy-air,ta_tpt-p3-hxy-air,glb,6hrPlevPt.ta,atmos.ta.tpt-p3-hxy-air.6hr.glb,6a35d178-aa6a-11e6-9736-5404a60d96b5,,
52,atmos.tas.tavg-h2m-hxy-u.day.glb,day,atmos,air_temperature,K,area: time: mean,area: areacella,Near-Surface Air Temperature,"near-surface (usually, 2 meter) air temperature",normally report this at 2 meters above the surface,longitude latitude time height2m,tas,real,,XY-na,time-intv,day,tas,tas,tavg-h2m-hxy-u,tas_tavg-h2m-hxy-u,glb,day.tas,atmos.tas.tavg-h2m-hxy-u.day.glb,bab928ae-e5dd-11e5-8482-ac72891c3257,,
53,atmos.tas.tavg-h2m-hxy-u.mon.glb,mon,atmos,air_temperature,K,area: time: mean,area: areacella,Near-Surface Air Temperature,"near-surface (usually, 2 meter) air temperature",normally report this at 2 meters above the surface,longitude latitude time height2m,tas,real,,XY-na,time-intv,Amon,tas,tas,tavg-h2m-hxy-u,tas_tavg-h2m-hxy-u,glb,Amon.tas,atmos.tas.tavg-h2m-hxy-u.mon.glb,bab9237c-e5dd-11e5-8482-ac72891c3257,,
