,name,frequency,modeling_realm,standard_name,units,cell_methods,cell_measures,long_name,comment,processing_note,dimensions,out_name,type,positive,spatial_shape,temporal_shape,cmip6_table,physical_parameter_name,variableRootDD,branding_label,branded_variable_name,region,cmip6_compound_name,cmip7_compound_name,uid,priority
41,atmos.pfull.tavg-al-hxy-u.day.glb,day,atmos,air_pressure,Pa,area: time: mean,area: areacella,Pressure at Model Full-Levels,Air pressure on model levels,"This field is needed only for models in which the pressure cannot be calculated from the vertical coordinate information stored already for each variable.  Thus, the pressures are needed for height or theta-coordinate models, for example, but not sigma- or eta-coordinate models.",longitude latitude alevel time,pfull,real,,XY-A,time-intv,CFday,pfull,pfull,tavg-al-hxy-u,pfull_tavg-al-hxy-u,glb,CFday.pfull,atmos.pfull.tavg-al-hxy-u.day.glb,bab32ddc-e5dd-11e5-8482-ac72891c3257,high
42,atmos.pr.tavg-u-hxy-crp.day.glb,day,atmos,precipitation_flux,kg m-2 s-1,area: time: mean where crops (mask=cropFrac),area: areacella,Precipitation over Crop Tile,includes both liquid and solid phases,"CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: time: mean where crops (comment: mask=cropFrac) CMIP7:area: time: mean where crops (mask=cropFrac),",longitude latitude time,pr,real,,XY-na,time-intv,Eday,prCrop,pr,tavg-u-hxy-crp,pr_tavg-u-hxy-crp,glb,Eday.prCrop,atmos.pr.tavg-u-hxy-crp.day.glb,2eb1b640-b64e-11e6-b9ee-ac72891c3257,low
43,atmos.pr.tavg-u-hxy-u.1hr.30S-90S,1hr,atmos,precipitation_flux,kg m-2 s-1,area: time: mean,area: areacella,Precipitation,Total precipitation flux,"This is a regional subset of the variable. If you are producing the global equivalent of E1hr.prSouth30, you should omit this regional South30 version.",longitude latitude time,pr,real,,XY-na,time-intv,E1hr,pr,pr,tavg-u-hxy-u,pr_tavg-u-hxy-u,30S-90S,E1hr.prSouth30,atmos.pr.tavg-u-hxy-u.1hr.30S-90S,80ac31b4-a698-11ef-914a-613c0433d878,high
48,atmos.pr.tmax-u-hxy-u.day.glb,day,atmos,precipitation_flux,kg m-2 s-1,area: mean time: maximum,area: areacella,Maximum Hourly Precipitation Rate,Daily Maximum Hourly Precipitation Rate,"CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: mean time: mean within hours time: maximum over hours CMIP7:area: mean time: maximum,",longitude latitude time,pr,real,,XY-na,time-intv,Eday,prhmax,pr,tmax-u-hxy-u,pr_tmax-u-hxy-u,glb,Eday.prhmax,atmos.pr.tmax-u-hxy-u.day.glb,d237723e-4a9f-11e6-b84e-ac72891c3257,high
54,atmos.ps.tpt-u-hxy-u.1hr.30S-90S,1hr,atmos,surface_air_pressure,Pa,area: mean time: point,area: areacella,Surface Air Pressure,Surface pressure.,"Instantaneous value (i.e. synoptic or time-step value), Global field (single level) [XY-na] [amn-tpt]
This is a regional subset of the variable. If you are producing the global equivalent of E1hr.psSouth30, you should omit this regional South30 version.",longitude latitude time1,ps,real,,XY-na,time-point,E1hr,ps,ps,tpt-u-hxy-u,ps_tpt-u-hxy-u,30S-90S,E1hr.psSouth30,atmos.ps.tpt-u-hxy-u.1hr.30S-90S,80ac31ba-a698-11ef-914a-613c0433d878,high
61,atmos.rlds.tavg-u-hxy-u.1hr.30S-90S,1hr,atmos,surface_downwelling_longwave_flux_in_air,W m-2,area: time: mean,area: areacella,Surface Downwelling Longwave Radiation,Surface Downwelling Longwave Radiation,"This is the 3-hour mean flux.
This is a regional subset of the variable. If you are producing the global equivalent of E1hr.rldsSouth30, you should omit this regional South30 version.",longitude latitude time,rlds,real,down,XY-na,time-intv,E1hr,rlds,rlds,tavg-u-hxy-u,rlds_tavg-u-hxy-u,30S-90S,E1hr.rldsSouth30,atmos.rlds.tavg-u-hxy-u.1hr.30S-90S,80ac31c2-a698-11ef-914a-613c0433d878,high
66,atmos.rls.tavg-u-hxy-u.day.glb,day,atmos,surface_net_downward_longwave_flux,W m-2,area: time: mean,area: areacella,Net Longwave Surface Radiation,Net longwave radiation,,longitude latitude time,rls,real,down,XY-na,time-intv,day,rls,rls,tavg-u-hxy-u,rls_tavg-u-hxy-u,glb,day.rls,atmos.rls.tavg-u-hxy-u.day.glb,d660d938-633c-11e8-9791-a44cc8186c64,medium
68,atmos.rlus.tavg-u-hxy-u.1hr.glb,1hr,atmos,surface_upwelling_longwave_flux_in_air,W m-2,area: time: mean,area: areacella,Surface Upwelling Longwave Radiation,Hourly surface upwelling longwave radiation,,longitude latitude time,rlus,real,up,XY-na,time-intv,E1hr,rlus,rlus,tavg-u-hxy-u,rlus_tavg-u-hxy-u,glb,E1hr.rlus,atmos.rlus.tavg-u-hxy-u.1hr.glb,83bbfbc3-7f07-11ef-9308-b1dd71e64bec,medium
71,atmos.rsds.tavg-u-hxy-u.1hr.30S-90S,1hr,atmos,surface_downwelling_shortwave_flux_in_air,W m-2,area: time: mean,area: areacella,Surface Downwelling Shortwave Radiation,Hourly downward solar radiation flux at the surface,"This is a regional subset of the variable. If you are producing the global equivalent of E1hr.rsdsSouth30, you should omit this regional South30 version.",longitude latitude time,rsds,real,down,XY-na,time-intv,E1hr,rsds,rsds,tavg-u-hxy-u,rsds_tavg-u-hxy-u,30S-90S,E1hr.rsdsSouth30,atmos.rsds.tavg-u-hxy-u.1hr.30S-90S,80ac31c8-a698-11ef-914a-613c0433d878,high
78,atmos.rss.tavg-u-hxy-u.day.glb,day,atmos,surface_net_downward_shortwave_flux,W m-2,area: time: mean,area: areacella,Net Shortwave Surface Radiation,Net shortwave radiation,,longitude latitude time,rss,real,down,XY-na,time-intv,day,rss,rss,tavg-u-hxy-u,rss_tavg-u-hxy-u,glb,day.rss,atmos.rss.tavg-u-hxy-u.day.glb,8ca589c4-633c-11e8-9791-a44cc8186c64,medium
80,atmos.rsus.tavg-u-hxy-u.1hr.glb,1hr,atmos,surface_upwelling_shortwave_flux_in_air,W m-2,area: time: mean,area: areacella,Surface Upwelling Shortwave Radiation,Surface upwelling shortwave radiation,,longitude latitude time,rsus,real,up,XY-na,time-intv,E1hr,rsus,rsus,tavg-u-hxy-u,rsus_tavg-u-hxy-u,glb,E1hr.rsus,atmos.rsus.tavg-u-hxy-u.1hr.glb,83bbfbc1-7f07-11ef-9308-b1dd71e64bec,medium
82,atmos.sfcWind.tavg-h10m-hxy-u.1hr.30S-90S,1hr,atmos,wind_speed,m s-1,area: time: mean,area: areacella,Near-Surface Wind Speed,Hourly near-surface wind speed at 10m above the ground,"This is a regional subset of the variable. If you are producing the global equivalent of E1hr.sfcWindSouth30, you should omit this regional South30 version.",longitude latitude time height10m,sfcWind,real,,XY-na,time-intv,E1hr,sfcWind,sfcWind,tavg-h10m-hxy-u,sfcWind_tavg-h10m-hxy-u,30S-90S,E1hr.sfcWindSouth30,atmos.sfcWind.tavg-h10m-hxy-u.1hr.30S-90S,80ac31d0-a698-11ef-914a-613c0433d878,high
93,atmos.tas.tmax-h2m-hxy-crp.day.glb,day,atmos,air_temperature,K,area: mean where crops time: maximum,area: areacella,Daily Maximum Near-Surface Air Temperature over Crop Tile,"maximum near-surface (usually, 2 meter) air temperature (add cell_method attribute ""time: max"")",,longitude latitude time height2m,tas,real,,XY-na,time-intv,Eday,tasmaxCrop,tas,tmax-h2m-hxy-crp,tas_tmax-h2m-hxy-crp,glb,Eday.tasmaxCrop,atmos.tas.tmax-h2m-hxy-crp.day.glb,2eb1ab6e-b64e-11e6-b9ee-ac72891c3257,low
96,atmos.tas.tmin-h2m-hxy-crp.day.glb,day,atmos,air_temperature,K,area: mean where crops time: minimum,area: areacella,Daily Minimum Near-Surface Air Temperature over Crop Tile,"minimum near-surface (usually, 2 meter) air temperature (add cell_method attribute ""time: min"")",,longitude latitude time height2m,tas,real,,XY-na,time-intv,Eday,tasminCrop,tas,tmin-h2m-hxy-crp,tas_tmin-h2m-hxy-crp,glb,Eday.tasminCrop,atmos.tas.tmin-h2m-hxy-crp.day.glb,2eb1b0aa-b64e-11e6-b9ee-ac72891c3257,low
102,atmos.ts.tpt-u-hxy-u.3hr.glb,3hr,atmos,surface_temperature,K,area: mean time: point,area: areacella,Surface Temperature,Surface temperature (skin for open ocean),,longitude latitude time1,ts,real,,XY-na,time-point,CF3hr,ts,ts,tpt-u-hxy-u,ts_tpt-u-hxy-u,glb,CF3hr.ts,atmos.ts.tpt-u-hxy-u.3hr.glb,7b309c62-a220-11e6-a33f-ac72891c3257,high
119,atmos.wbgt.tavg-h2m-hxy-u.day.glb,day,atmos,wet_bulb_globe_temperature,degC,area: time: mean,area: areacella,mean 2m daily wet bulb globe temperature,"mean 2m daily wet bulb globe temperature (WBGT). 
Wet Bulb Globe Temperature (WBGT) is a particularly effective indicator of heat stress for active populations such as outdoor workers and athletes.
The calculation should be done with: 
WBGT = 0.567 \* T_C + 0.393 \* e/100 + 3.94, where T_C is temperature in degrees C, and e = huss \* p \* M_air / M_H2O, where ""huss=specific humidity in kg/kg"", M_H2O = 18.01528/1000 # kg/mol, M_air = 28.964/1000 # kg/mol for dry air and ""P = surface pressure in Pa""","The calculation should be done with: 
WBGT = 0.567 \* T_C + 0.393 \* e/100 + 3.94, 
where T_C is temperature in degrees C, 
and e = huss \* p \* M_air / M_H2O, 
where ""huss=specific humidity in kg/kg"", 
M_H2O = 18.01528/1000 # kg/mol, 
M_air = 28.964/1000 # kg/mol for dry air,
and ""P = surface pressure in Pa""",longitude latitude time height2m,wbgt,real,,XY-na,time-intv,day,wbgt2m,wbgt,tavg-h2m-hxy-u,wbgt_tavg-h2m-hxy-u,glb,day.wbgt2m,atmos.wbgt.tavg-h2m-hxy-u.day.glb,83bbfbcd-7f07-11ef-9308-b1dd71e64bec,medium
120,atmos.wbgt.tmax-h2m-hxy-u.day.glb,day,atmos,wet_bulb_globe_temperature,degC,area: mean time: maximum,area: areacella,maximum 2m daily wet bulb globe temperature,"max 2m daily wet bulb globe temperature (WGBT): 
Wet Bulb Globe Temperature (WBGT) is a particularly effective indicator of heat stress for active populations such as outdoor workers and athletes.
The calculation should be done with: 
WBGT = 0.567 \* T_C + 0.393 \* e/100 + 3.94, where T_C is temperature in degrees C, and e = huss \* p \* M_air / M_H2O, where ""huss=specific humidity in kg/kg"", M_H2O = 18.01528/1000 # kg/mol, M_air = 28.964/1000 # kg/mol for dry air and ""P = surface pressure in Pa""","The calculation should be done with: 
WBGT = 0.567 \* T_C + 0.393 \* e/100 + 3.94, 
where T_C is temperature in degrees C, 
and e = huss \* p \* M_air / M_H2O, 
where ""huss=specific humidity in kg/kg"", 
M_H2O = 18.01528/1000 # kg/mol, 
M_air = 28.964/1000 # kg/mol for dry air,
and ""P = surface pressure in Pa""",longitude latitude time height2m,wbgt,real,,XY-na,time-intv,day,wbgt2mmax,wbgt,tmax-h2m-hxy-u,wbgt_tmax-h2m-hxy-u,glb,day.wbgt2mmax,atmos.wbgt.tmax-h2m-hxy-u.day.glb,83bbfbcc-7f07-11ef-9308-b1dd71e64bec,medium
122,atmos.wsg.tmax-h100m-hxy-u.mon.glb,mon,atmos,wind_speed_of_gust,m s-1,area: mean time: maximum,area: areacella,Maximum Wind Speed of Gust at 100m,"Maximum Wind Speed of Gust at 100m, monthly","Maximum instantaneous gust over grid cell, recorded monthly. Input data at the highest available frequency, ideally model timesteps, should be used to compute the maximum. Modellers are requested to leave in a comment in the netcdf metadata stating the frequency of the input data.",longitude latitude time height100m,wsg,real,,XY-na,time-intv,Emon,wsgmax100m,wsg,tmax-h100m-hxy-u,wsg_tmax-h100m-hxy-u,glb,Emon.wsgmax100m,atmos.wsg.tmax-h100m-hxy-u.mon.glb,83bbfc7c-7f07-11ef-9308-b1dd71e64bec,medium
124,atmos.wsg.tmax-h10m-hxy-u.mon.glb,mon,atmos,wind_speed_of_gust,m s-1,area: mean time: maximum,area: areacella,Maximum Wind Speed of Gust at 10m,"Maximum Wind Speed of Gust at 10m, monthly","Maximum instantaneous gust over grid cell, recorded monthly. Input data at the highest available frequency, ideally model timesteps, should be used to compute the maximum. Modellers are requested to leave in a comment in the netcdf metadata stating the frequency of the input data.",longitude latitude time height10m,wsg,real,,XY-na,time-intv,Emon,wsgmax10m,wsg,tmax-h10m-hxy-u,wsg_tmax-h10m-hxy-u,glb,Emon.wsgmax10m,atmos.wsg.tmax-h10m-hxy-u.mon.glb,83bbfc7a-7f07-11ef-9308-b1dd71e64bec,medium
